seiban,fX,fY,prefectures
SN1659：（株）カイハツ生コン　八戸工場：BP他社プラント　DASH-200N-225 TRINITY ULTIMATE　TRIU　200N-225,141.45279,40.51345,02青森県
SB3130：カジマメカトロエンジニアリング（株）：DASH-N225EVo3-150T-T（1号プラント）　TRI　200N-225,141.39017,41.22056,02青森県
SB3131：カジマメカトロエンジニアリング（株）：DASH-N225EVo3-150T-T（2号プラント）　TRI　200N-225,141.39017,41.22056,02青森県
SB7051：小山建材（有）：Ｓ４ｓｂ－１００Ｐ　CTBⅡ,141.52615,40.50777,02青森県
ZZ0176：むつ小川原生コンクリート（株）：BP他社プラント,141.34042,40.89838,02青森県
ZZ0177：（株）吉田レミコン　三戸工場：BP他社プラント,141.20621,40.34401,02青森県
ZZ0178：（株）吉田レミコン　八戸工場：BP他社プラント,141.48883,40.55286,02青森県
ZZ0179：（有）千葉ブロック工業：BP他社プラント,140.53113,40.68325,02青森県
ZZ0180：相馬ブロック工業（有）：BP他社プラント,140.58293,40.73874,02青森県
ZZ0159：（株）共同生コン：BP他社プラント,140.48299,40.64541,02青森県
ZZ0160：（株）太平洋生コン：BP他社プラント,141.37067,41.15918,02青森県
ZZ0161：（株）附田生コン：BP他社プラント,141.40211,40.77439,02青森県
ZZ0162：下北開発生コンクリート（株）：BP他社プラント,141.21184,41.37193,02青森県
ZZ0163：（株）青函レミコン：BP他社プラント,140.43446,41.1855,02青森県
ZZ0164：（株）五所川原レミコン：BP他社プラント,140.41719,40.79932,02青森県
ZZ0165：（株）地代所レミコン：BP他社プラント,141.4994,40.48048,02青森県
ZZ0167：平内レミコン（株）：BP他社プラント,140.9778,40.92876,02青森県
ZZ0168：弘岩生コン（株）：BP他社プラント,140.48779,40.60549,02青森県
ZZ0169：東日本レミコン（株）：BP他社プラント,141.28513,41.21798,02青森県
ZZ0170：（株）久吉ナマコン：BP他社プラント,140.51924,40.57888,02青森県
ZZ0171：（株）つるたカイハツ生コン：BP他社プラント,140.38951,40.763,02青森県
ZZ0172：トーホク生コンクリート（株）：BP他社プラント,141.2365,40.61327,02青森県
ZZ0174：むつアサノコンクリート（株）：BP他社プラント,141.22597,41.29505,02青森県
ZZ0181：海峡生コン（株）：BP他社プラント,140.92033,41.52702,02青森県
ZZ0182：（有）オオサカ生コン：BP他社プラント,141.24744,40.76005,02青森県
ZZ0185：新産レミコン（株）：BP他社プラント,141.2662,40.64009,02青森県
ZZ0186：平和実業（株）　生コン三沢工場：BP他社プラント,141.41415,40.72384,02青森県
ZZ0187：十和田生コン（株）：BP他社プラント,141.25438,40.58694,02青森県
ZB0042：（有）工藤産業生コン　青森工場：BP他社プラント,140.70454,40.84117,02青森県
ZZ2446：（有）青森ヒューム：BP他社プラント,141.44266,40.54924,02青森県
ZZ2447：（株）七戸クリエート：BP他社プラント,141.17677,40.7248,02青森県
ZZ2448：（有）田村興業：BP他社プラント,141.13083,40.85535,02青森県
ZZ2449：畑中産業（株）：BP他社プラント,141.4982,40.54148,02青森県
ZZ2450：細川建設（株）：BP他社プラント,140.88293,41.40386,02青森県
ZZ2451：（有）丸重商事：BP他社プラント,140.25151,40.79084,02青森県
ZZ2452：（株）脇川商事：BP他社プラント,140.16803,40.74749,02青森県
ZZ2204：（株）カイハツ生コン　百石工場：BP他社プラント,141.45998,40.56566,02青森県
ZZ2205：新和生コン（株）　工場：BP他社プラント,140.62811,40.78608,02青森県
ZZ2206：平和実業（株）　生コン十和田工場：BP他社プラント,141.19666,40.65038,02青森県
ZZ2207：（株）北武開發生コンクリート　工場：BP他社プラント,140.32828,41.02193,02青森県
SB2733：青森太平洋生コン（株）　堤工場：ＮＲＡⅢ－１２ｄ－１５０Ｐ－７,140.75998,40.83227,02青森県
SB2604：（株）山健生コン：ＮＲＡⅡ－１５０Ｐ,140.39455,40.80231,02青森県
SB2651：齋勝建設（株）：ＮＲＡⅢ－１０ＦＢ－１５０Ｐ　CTF,140.35071,41.17791,02青森県
SB2899：共立生コンクリート（株）　西工場：ＤＡＳＨ－１６７Ｂ２－ＩＴＢ　ITB,140.70299,40.84311,02青森県
SB1392：（有）工藤産業生コン：ＢＰＵ－１５０ＰＡＴ,140.56224,40.7636,02青森県
SB2477：マルイチ工業（株）　生コン工場：ＲＡⅠ－９ＦＸ－１５０Ｐ－５Ｔ　ITBP DSH167,140.17984,40.771,02青森県
SB2576：日扇総合開発（株）：ＮＲＡⅢ－１５α－２００Ｐ,141.3176,40.97122,02青森県
ZZ1991：（有）昭和石材興業：BP他社プラント,140.42392,40.59468,02青森県
