seiban,fX,fY,prefectures
仙台南アスコン共同企業体,140.92212,38.13043,04宮城県
宮城りんかいアスコン（株）　岩沼工場,140.92842,38.12887,04宮城県
宮城りんかいアスコン（株）　多賀城工場,141.0208,38.28634,04宮城県
共同企業体エコプラザ気仙沼,141.54825,38.88364,04宮城県
共同企業体　みやぎ大崎アスコン,140.92078,38.60815,04宮城県
石巻アスコン（株）,141.27547,38.48151,04宮城県
前田道路（株）　仙台合材工場,140.82857,38.07742,04宮城県
（株）リアスコン,140.78314,38.31957,04宮城県
秋田振興建設（株）,140.44243,39.44494,05秋田県
秋田土建（株）　米内沢工場,140.37283,40.12515,05秋田県
潟上アスコン共同企業体,140.04489,39.85367,05秋田県
大館アスコン共同企業体,140.5538,40.24164,05秋田県
伊藤建設工業（株）　アスファルト合材製造所　＊使用不可＊,140.53508,39.3007,05秋田県
大潟アスコン共同企業体,140.01259,40.06244,05秋田県
大館中央アスコン共同企業体,140.47356,40.27354,05秋田県
佐藤建設（株）　アスファルトプラント工場,140.47356,40.27354,05秋田県
湯沢アスコン共同企業体,140.48042,39.1403,05秋田県
秋田グリーンアスコン（株）　六郷アスコン,140.53372,39.42457,05秋田県
鹿角アスコン協同組合,140.83723,40.25172,05秋田県
（株）塚本商会,140.02228,40.17236,05秋田県
秋田中央アスコン　破砕工場,140.30524,39.61792,05秋田県
秋田アスコン共同企業体,140.06181,39.76858,05秋田県
秋田グリーンアスコン（株）　千秋アスコン,140.05914,39.7657,05秋田県
大文字アスコン　（花岡土建（株））,140.50189,40.24377,05秋田県
北部建設（株）,140.00999,40.17781,05秋田県
前田道路（株）　秋田合材工場,140.0809,39.52889,05秋田県
鳥海マテリアル（株）,140.02824,39.42086,05秋田県
（株）佐藤庫組,140.32541,40.18443,05秋田県
秋田県南アスコン共同企業体,140.43269,39.49786,05秋田県
横手アスコン共同企業体,140.55319,39.34956,05秋田県
白神アスコン共同企業体,140.18639,40.10595,05秋田県
田代アスコン（株）,140.39119,40.3782,05秋田県
大曲舗装（株）,140.45453,39.48803,05秋田県
共同企業体エコプラザ横手,140.53899,39.27677,05秋田県
オイタマアスコン共同企業体,140.14124,37.999,06山形県
庄内アスコン共同企業体,139.82736,38.91236,06山形県
共同企業体　鶴岡アスコン,139.85876,38.69465,06山形県
山形協同アスコン共同企業体,140.40668,38.41793,06山形県
庄内日本海アスコン,139.91798,38.83935,06山形県
共同企業体　アステック庄内,139.8457,38.86551,06山形県
升川建設（株）,140.34264,38.40609,06山形県
山形建設（株）　天童事業所合材工場,140.35402,38.32277,06山形県
山形アスコン共同企業体,140.30988,38.16434,06山形県
万世アスコン（株）　米沢アスコン,140.14256,37.87889,06山形県
大成ロテック（株）　寒河江合材工場,140.31311,38.37379,06山形県
東山アスコン共同企業体,140.01468,38.03007,06山形県
はながさアスコン共同企業体,140.41832,38.57373,06山形県
小国開発（株）　箱の口合材プラント,139.83267,38.04439,06山形県
県南アスコン共同企業体,140.07938,38.05827,06山形県
県北アスコン共同企業体,140.30917,38.74056,06山形県
（株）南会西部建設コーポレーション,139.44017,37.2963,07福島県
郡山アスコン共同企業体,140.29477,37.46736,07福島県
共同企業体　相馬アスコン,140.98146,37.67785,07福島県
福島ふたばアスコン,140.99347,37.2826,07福島県
（株）ガイアート　福島合材工場,140.99043,37.24017,07福島県
福島中央建設（株）　郡山リサイクル工場　＊使用不可＊,140.41971,37.32335,07福島県
共同企業体　いわきアスコン,140.84558,36.9404,07福島県
福島県中央アスコン,140.36066,37.32924,07福島県
共同企業体　若松アスコン,139.91347,37.45597,07福島県
信夫工業（株）　日和田アスファルト混合所,140.39104,37.46132,07福島県
いわき中央アスコン共同企業体　四倉工場,140.96268,37.12618,07福島県
いわき中央アスコン共同企業体,140.88907,37.00358,07福島県
あづまアスコン（株）,140.51648,37.83104,07福島県
会津アスコン（株）　南会津工場,139.85722,37.21717,07福島県
会津アスコン（株）　会津中央アスコン,139.97694,37.53339,07福島県
福島県南アスコン（株）　白河アスコン,140.28914,37.17023,07福島県
福島舗装（株）　合材プラント工場　＊使用不可＊,140.47623,37.81385,07福島県
前田道路（株）　郡山合材工場,140.36906,37.46342,07福島県
共同企業体　福島県北アスコン,140.55597,37.8408,07福島県
前田道路（株）　いわき合材工場,140.87105,36.99805,07福島県
（株）佐藤渡辺　石川合材工場,140.44739,37.15361,07福島県
南総建（株）　建材部,139.50439,37.28065,07福島県
穴澤建設（株）　合材プラント工場,139.87077,37.68471,07福島県
（株）シーズ　棚倉アスファルト合材工場,140.32515,36.998,07福島県
福島舗材センター共同企業体,141.01208,37.54136,07福島県
石田道路（株）　茨城工場　＊使用不可＊,140.0502,36.34932,08茨城県
（株）オカベ,140.58775,36.45024,08茨城県
前田道路（株）・（株）秋山工務店ＪＶ　東海合材工場,140.53653,36.46069,08茨城県
前田道路（株）　つくば製品販売所,140.13788,36.03292,08茨城県
関東道路（株）　川島合材工場,139.9025,36.28883,08茨城県
古河アスコン（株）,139.85202,36.19098,08茨城県
大成ロテック（株）　石岡合材工場,140.28426,36.14837,08茨城県
東京鋪装工業（株）・佐田建設（株）　茨城合材工場,139.95769,36.21582,08茨城県
県央共同アスコン,140.44691,36.31405,08茨城県
県南共同アスコン　茨城工場,140.17969,36.11769,08茨城県
昭和瀝青工業（株）,140.07661,35.96599,08茨城県
東亜道路工業（株）　鹿嶋合材工場,140.6693,35.96449,08茨城県
日本道路（株）・（株）霞工業　茨城合材センター,140.14536,36.14873,08茨城県
（株）いばらき中央アスコン,140.38937,36.2664,08茨城県
（株）NIPPO　筑波合材工場,140.03755,36.04836,08茨城県
日立アスコン（株）,140.718,36.80748,08茨城県
平和建設（株）　本社・水戸瀝青混合所,140.5051,36.3574,08茨城県
平和建設（株）　柴崎瀝青混合所,140.30136,35.90761,08茨城県
前田道路（株）　土浦合材工場,140.17274,36.11466,08茨城県
那珂アスコン　那珂工場,140.46277,36.47969,08茨城県
共同企業体　江戸崎共同アスコン,140.28806,35.97485,08茨城県
光洋建設（株）,139.79553,36.26147,09栃木県
両毛アスコン　世紀東急工業（株）　佐野混合所,139.61867,36.32279,09栃木県
東武道路工業（株）,139.73232,36.66616,09栃木県
栃木合材センター　（日本道路（株））,139.79147,36.50572,09栃木県
栃木共同アスコン（株）　栃木工場,139.79549,36.44719,09栃木県
栃木北アスコン（株）,139.84818,36.76941,09栃木県
（株）浜屋組　アスファルト合材工場,139.9482,36.81739,09栃木県
前田道路（株）　栃木合材工場,139.90012,36.36771,09栃木県
瑞穂瀝青工業（株）,139.92099,36.50302,09栃木県
栃木アスコン,139.81319,36.40462,09栃木県
栃木共同アスコン（株）　宇都宮工場,139.94525,36.57386,09栃木県
磯部建設（株）,139.76299,36.73973,09栃木県
共同企業体　宇都宮アスコン,139.93146,36.57714,09栃木県
栃木県北アスコン（株）,140.08775,36.93916,09栃木県
ナスアスコン（株）,139.95982,36.87992,09栃木県
（有）富士川産業,139.83403,36.32465,09栃木県
日本道路（株）　那須合材センター,139.98761,36.93914,09栃木県
（株）エーエヌエス　足利工場　＊使用不可＊,139.49785,36.34389,09栃木県
（株）NIPPO　ぐんまリサイクル工場　＊使用不可＊,139.11285,36.36828,10群馬県
池原工業（株）　東橋工場,138.83437,36.57635,10群馬県
（株）NIPPO　高崎合材工場,138.91661,36.33192,10群馬県
渋川アスコン（株）,139.03169,36.4659,10群馬県
前田道路（株）　館林合材工場,139.5047,36.23867,10群馬県
前橋アスコン,139.1915,36.37494,10群馬県
ＳＫマテリアル（株）　新町工場,139.09744,36.26785,10群馬県
上武アスコン,139.30402,36.29385,10群馬県
伊勢崎アスコン（株）,139.21722,36.39406,10群馬県
渋川アスコン（株）　嬬恋工場,138.5584,36.46745,10群馬県
前田道路（株）　群馬合材工場,139.14049,36.29354,10群馬県
